四字熟語	読み	意味	級	ページ	類義語	対義語	別の読み	参考	補説	優先
悪衣悪食	あくいあくしょく	質素で粗末な衣服や食物。	4	62	粗衣粗食、節衣縮食、粗衣糲食		あくいあくじき			
悪因悪果	あくいんあっか	悪い行いには必ず悪い報いがあるということ。	5	62		善因善果				
悪逆無道	あくぎゃくむどう	人としての道にはずれた悪い行い。	5	62	悪逆非道、極悪非道、大逆無道		あくぎゃくぶとう、あくぎゃくぶどう			
悪事千里	あくじせんり	悪いことは評判になりやすいというたとえ。	5	62						
悪人正機	あくにんしょうき	阿弥陀仏の本願は悪人を救うことにあるとする説。	5	62						
悪口雑言	あっこうぞうごん	口に任せて様々に悪口を言うこと。また、その言葉。	5	63	罵詈雑言、悪口罵詈、罵詈讒謗、讒謗罵詈					
安居危思	あんきょきし	平穏無事なときにも、万一の場合を考えて常に用心を怠らないことが重要であるということ。	5	65						
安居楽業	あんきょらくぎょう	置かれた状況などに心安らかに甘んじ、自分の仕事を楽しんですること。	5	65	安家楽業、安土楽業					
安心立命	あんじんりつめい	心を安らかに保って運命に身をまかせ、いかなる場合でも動揺しないこと。	5	66	安心決定		あんしんりつめい、あんじんりゅうめい、あんじんりゅうみょう			
暗送秋波	あんそうしゅうは	かげで機嫌とりをすること。	5	66						
安宅正路	あんたくせいろ	仁と義のたとえ。	5	66						
易往易行	いおういぎょう	たやすい修行で極楽往生できるという教え。	5	67	易往易修、易行易修	難行苦行				
意気投合	いきとうごう	たがいの気持ちや考えなどがぴったりと合うこと。	5	68	意気相投、情意投合					-
異曲同工	いきょくどうこう	-	5	69	-	-	-	同工異曲		
異口同音	いくどうおん	みんなが口をそろえて同じことを言うこと。	5	69	異口同辞、異人同辞、異口同声		いこうどうおん			-
意在言外	いざいげんがい	自分の思いを直接言葉で伸べないで、相手の推察にまかせること。また、思うことを直接書かないで、字間や行間に含ませること。	5	70	意味深長、美言大義					
医食同源	いしょくどうげん	日常の食事に注意することが、病気予防の最善の策であるということ。	5	71						
以心伝心	いしんでんしん	文字や言葉によらず心と心で通じ合うこと。	5	71	教外別伝、不立文字、維魔一黙					-
衣帯中賛	いたいちゅうのさん	南宋の忠臣の文天祥(ぶんてんしょう)が死に臨み衣帯の中に書き置いた賛辞。	5	71						
異体同心	いたいどうしん	体は別なものでも心は一つに固く結ばれていること。また、それほど関係が深いということ。	5	71	一心同体、寸歩不離					
衣帯不解	いたいふかい	-	5	71	-	-	-	不解衣帯		
一意専心	いちいせんしん	ひたすら一つのことに心を集中すること。	5	72	一心一意、全心全意、一心不乱、専心専意					
一衣帯水	いちいたいすい	非常に近しい関係のたとえ。	5	72	衣帯之水、衣帯一江					
一往一来	いちおういちらい	行ったり来たりすること。	5	72						
一牛鳴地	いちぎゅうめいち	きわめて距離の近いこと。	5	73	一牛吼地					
一言一行	いちげんいっこう	一つの言葉と一つの行い。	5	73	一挙一動					
一言半句	いちごんはんく	ほんの少しの短い言葉。	5	73	片言隻句、一言片句、片言隻辞、片言隻語、一言一句		いちげんはんく			
一字千金	いちじせんきん	筆跡や詩文の表現を尊重して言う語。	5	73	一字百金、一言千金、一字連城					
一日三秋	いちじつさんしゅう	一日会わなかっただけで三年も合わなかったような気がする。相手を思慕する情の深いこと。	5	74	一日千秋、一刻千秋		いちにちさんしゅう			
一日千秋	いちじつせんしゅう	大変待ち遠しいことのたとえ。	5	74	一日三秋、一刻千秋		いちにちせんしゅう			-
一字不説	いちじふせつ	仏法の真理は他から得るものではなく、自ら体得するものだということ。	5	74						
一上一下	いちじょういちげ	場面に応じて適切に対応するたとえ。	5	74						
